id,date,amount,description,currency
B0001,2024-05-20,13.71,Netflix,USD
B0002,2024-02-22,49.04,Adobe Creative Cloud,USD
B0003,2024-01-16,282.23,UNITED AIRLINES,USD
B0004,2024-11-04,1.83,Google *Services,USD
B0005,2024-11-28,291.09,Delta,USD
B0006,2024-05-22,54.15,Adobe Creative Cloud,USD
B0007,2024-06-23,5.29,Apple Store,USD
B0008,2024-06-21,9.14,Spotify Premium,USD
B0009,2024-07-02,21.69,UBER* TRIP,USD
B0010,2024-01-23,17.43,LYFT,USD
B0011,2024-07-12,283.98,DELTA AIR,USD
B0012,2024-11-17,300.15,DELTA AIR LINES,USD
B0013,2024-02-05,262.32,UNITED AIRLINES,USD
B0014,2024-02-10,59.49,ADOBE SYSTEMS,USD
B0015,2024-08-20,15.41,Netflix Subscription,USD
B0016,2024-04-17,4.8,Apple Store,USD
B0017,2024-03-28,23.24,UBER,USD
B0018,2024-05-18,4.93,Apple,USD
B0019,2024-01-29,74.11,Target Store,USD
B0020,2024-07-24,7.37,STARBUCKS #1042,USD
B0021,2024-10-17,20.55,UBER* TRIP,USD
B0022,2024-07-21,2.08,GOOGLE LLC,USD
B0023,2024-05-06,9.29,Spotify AB,USD
B0024,2024-10-25,282.8,United Air,USD
B0025,2024-03-11,194.52,Costco Wholesale,USD
B0026,2024-02-26,24.23,UBER,USD
B0027,2024-08-04,5.43,APPLE.COM/BILL,USD
B0028,2024-08-27,75.52,WHOLE FOODS,USD
B0029,2024-01-06,354.63,DELTA AIR,USD
B0030,2024-11-24,344.08,DELTA AIR LINES,USD
B0031,2024-03-21,15.0,NETFLIX INC,USD
B0032,2024-05-14,102.24,Amazon.com,USD
B0033,2024-11-16,118.0,VERIZON,USD
B0034,2024-03-19,108.43,VERIZON,USD
B0035,2024-09-28,5.05,APPLE.COM/BILL,USD
B0036,2024-01-10,17.76,Lyft,USD
B0037,2024-06-06,236.53,Costco,USD
B0038,2024-10-17,6.23,STARBUCKS STORE #4021,USD
B0039,2024-02-05,24.07,UBER,USD
B0040,2024-10-08,10.47,SPOTIFY,USD
B0041,2024-11-06,13.1,Microsoft Corp,USD
B0042,2024-12-19,2.25,GOOGLE,USD
B0043,2024-12-09,130.42,WAL-MART,USD
B0044,2024-08-19,50.39,Planet Fitness,USD
B0045,2024-06-22,50.45,Adobe Creative Cloud,USD
B0046,2024-10-28,293.67,United,USD
B0047,2024-11-19,78.41,AMZN MKTP US,USD
B0048,2024-01-17,47.85,Adobe Inc,USD
B0049,2024-05-22,22.6,Uber Technologies,USD
B0050,2024-10-19,2.01,GOOGLE LLC,USD
B0051,2024-07-27,59.69,ADOBE SYSTEMS,USD
B0052,2024-08-08,14.06,Netflix Subscription,USD
B0053,2024-01-28,41.95,TRADER JOE S,USD
B0054,2024-06-22,6.55,STARBUCKS STORE #4021,USD
B0055,2024-10-01,49.9,ADOBE *CREATIVE,USD
B0056,2024-05-22,9.76,SPOTIFY USA,USD
B0057,2024-02-08,61.17,ADOBE *CREATIVE,USD
B0058,2024-11-29,281.4,DELTA AIR,USD
B0059,2024-05-01,25.38,UBER,USD
B0060,2024-04-19,42.91,TJs,USD
B0061,2024-01-02,6.07,Starbucks Coffee,USD
B0062,2024-08-20,14.65,MSFT,USD
B0063,2024-10-11,45.64,TJs,USD
B0064,2024-04-21,9.06,Spotify Premium,USD
B0065,2024-02-01,309.44,UA*TICKET,USD
B0066,2024-09-01,5.84,Starbucks,USD
B0067,2024-02-11,7.68,Starbucks,USD
B0068,2024-12-11,23.14,UBER,USD
B0069,2024-10-18,69.37,Whole Foods Market,USD
B0070,2024-11-13,297.19,UNITED AIRLINES,USD
B0071,2024-10-16,45.13,TRADER JOES,USD
B0072,2024-06-09,11.84,MICROSOFT,USD
B0073,2024-12-09,12.58,MSFT,USD
B0074,2024-02-07,42.52,Planet Fitness,USD
B0075,2024-10-15,46.64,Planet Fitness,USD
B0076,2024-09-16,22.75,UBER* TRIP,USD
B0077,2024-02-05,11.29,SPOTIFY,USD
B0078,2024-08-12,198.7,COSTCO GAS,USD
B0079,2024-11-30,21.47,Lyft,USD
B0080,2024-12-05,300.74,DELTA AIR,USD
B0081,2024-02-24,9.28,SPOTIFY,USD
B0082,2024-04-17,12.14,MSFT,USD
B0083,2024-05-15,2.1,GOOGLE LLC,USD
B0084,2024-01-27,14.57,Microsoft 365,USD
B0085,2024-01-23,47.36,TRADER JOE S,USD
B0086,2024-11-22,72.67,TARGET 00,USD
B0087,2024-10-09,5.35,iTunes,USD
B0088,2024-02-08,272.93,Delta Airlines,USD
B0089,2024-07-08,275.46,Delta Airlines,USD
B0090,2024-06-06,38.28,TRADER JOES,USD
B0091,2024-04-17,7.56,Starbucks,USD
B0092,2024-10-13,15.29,NETFLIX INC,USD
B0093,2024-05-01,20.15,LYFT *RIDE,USD
B0094,2024-01-13,5.56,Apple,USD
B0095,2024-07-29,72.89,Target Store,USD
B0096,2024-12-25,11.66,Microsoft 365,USD
B0097,2024-08-28,87.04,Whole Foods Market,USD
B0098,2024-08-23,2.18,Google Play,USD
B0099,2024-04-26,147.43,Walmart,USD
B0100,2024-07-23,94.31,AMAZON MARKETPLACE,USD
B0101,2024-05-22,14.41,MSFT,USD
B0102,2024-10-01,101.84,VERIZON,USD
B0103,2024-05-13,79.61,Amazon.com,USD
B0104,2024-05-15,329.1,UNITED AIRLINES,USD
B0105,2024-06-25,16.45,Netflix Subscription,USD
B0106,2024-09-18,44.47,TRADER JOE S,USD
B0107,2024-04-07,87.68,WHOLE FOODS,USD
B0108,2024-01-01,7.17,Starbucks,USD
B0109,2024-12-06,208.02,COSTCO GAS,USD
B0110,2024-03-04,17.7,Lyft Inc,USD
B0111,2024-07-28,98.99,VERIZON,USD
B0112,2024-10-10,82.93,Whole Foods Market,USD
B0113,2024-07-13,1.94,GOOGLE,USD
B0114,2024-07-26,19.14,Lyft,USD
B0115,2024-08-08,125.9,WAL-MART,USD
B0116,2024-12-11,44.21,PLANET FITNESS,USD
B0117,2024-03-27,104.16,Verizon Wireless,USD
B0118,2024-11-20,135.12,WAL-MART,USD
B0119,2024-04-30,24.65,UBER* TRIP,USD
B0120,2024-03-16,60.05,Adobe Creative Cloud,USD
B0121,2024-08-31,6.23,STARBUCKS STORE #4021,USD
B0122,2024-11-18,43.84,PLANET FITNESS,USD
B0123,2024-05-04,78.17,Whole Foods Market,USD
B0124,2024-02-24,100.59,Amzn Digital,USD
B0125,2024-12-22,49.64,ADOBE *CREATIVE,USD
B0126,2024-03-03,6.87,Starbucks Coffee,USD
B0127,2024-12-07,10.89,Spotify AB,USD
B0128,2024-09-15,46.52,Anytime Fitness,USD
B0129,2024-03-22,314.81,Delta,USD
B0130,2024-05-06,41.75,24 HOUR FITNESS,USD
B0131,2024-05-02,104.51,VERIZON,USD
B0132,2024-05-26,39.3,PLANET FITNESS,USD
B0133,2024-10-03,12.35,Microsoft 365,USD
B0134,2024-07-15,8.94,SPOTIFY,USD
B0135,2024-07-27,1.73,Google Play,USD
B0136,2024-02-01,316.73,Delta Airlines,USD
B0137,2024-10-26,41.67,TRADER JOE S,USD
B0138,2024-01-04,278.63,UA*TICKET,USD
B0139,2024-08-02,144.73,Walmart,USD
B0140,2024-08-11,81.51,AT AND T,USD
B0141,2024-12-08,86.99,Amzn Digital,USD
B0142,2024-03-06,5.5,APPLE.COM/BILL,USD
B0143,2024-12-05,80.46,WHOLEFDS,USD
B0144,2024-03-10,23.46,Uber Technologies,USD
B0145,2024-07-13,4.32,Apple Store,USD
B0146,2024-06-21,1.96,GOOGLE LLC,USD
B0147,2024-08-03,13.97,MSFT,USD
B0148,2024-10-03,22.3,Uber *trip,USD
B0149,2024-02-05,194.83,COSTCO WHSE,USD
B0150,2024-04-12,102.13,AMZN MKTP US,USD
B0151,2024-03-05,16.79,LYFT,USD
B0152,2024-04-21,16.3,NETFLIX INC,USD
B0153,2024-03-26,14.03,Microsoft 365,USD
B0154,2024-02-25,5.69,APPLE.COM/BILL,USD
B0155,2024-07-11,137.56,Walmart.com,USD
B0156,2024-12-19,1.74,GOOGLE,USD
B0157,2024-06-03,16.94,NETFLIX.COM,USD
B0158,2024-06-26,313.5,United Air,USD
B0159,2024-11-27,184.93,COSTCO GAS,USD
B0160,2024-09-07,99.43,AMZN MKTP US,USD
B0161,2024-11-21,49.06,TJs,USD
B0162,2024-09-24,9.8,Spotify AB,USD
B0163,2024-10-02,20.48,LYFT,USD
B0164,2024-10-30,44.13,24 HOUR FITNESS,USD
B0165,2024-02-14,74.29,TARGET 00,USD
B0166,2024-08-25,41.54,Anytime Fitness,USD
B0167,2024-06-15,57.7,Target Store,USD
B0168,2024-05-12,81.31,AT&T Services,USD
B0169,2024-12-25,14.47,MSFT,USD
B0170,2024-04-07,272.97,DELTA AIR,USD
B0171,2024-09-07,58.62,ADOBE SYSTEMS,USD
B0172,2024-09-08,92.9,AT AND T,USD
B0173,2024-04-23,79.0,Amzn Digital,USD
B0174,2024-10-24,51.79,Adobe Inc,USD
B0175,2024-06-25,90.43,AT AND T,USD
B0176,2024-12-25,303.76,Delta,USD
B0177,2024-04-28,12.24,Microsoft 365,USD
B0178,2024-10-01,1.88,GOOGLE,USD
B0179,2024-09-04,1.82,Google Play,USD
B0180,2024-09-25,330.32,UA*TICKET,USD
B0181,2024-05-31,17.59,Netflix,USD
B0182,2024-01-08,191.97,Costco,USD
B0183,2024-01-28,11.22,MSFT,USD
B0184,2024-09-08,10.4,Spotify Premium,USD
B0185,2024-08-28,91.99,Amzn Digital,USD
B0186,2024-01-27,42.85,24 HOUR FITNESS,USD
B0187,2024-02-03,78.7,AT AND T,USD
B0188,2024-11-18,77.63,AT&T,USD
B0189,2024-10-15,8.94,Spotify AB,USD
B0190,2024-03-01,25.83,Uber Technologies,USD
B0191,2024-11-12,19.29,LYFT *RIDE,USD
B0192,2024-08-14,101.23,VERIZON,USD
B0193,2024-06-05,331.49,UNITED AIRLINES,USD
B0194,2024-02-20,21.34,LYFT *RIDE,USD
B0195,2024-02-11,1.85,GOOGLE,USD
B0196,2024-02-08,49.61,ADOBE SYSTEMS,USD
B0197,2024-12-18,87.52,Amzn Digital,USD
B0198,2024-05-27,115.64,WAL-MART,USD
B0199,2024-04-29,39.21,24 HOUR FITNESS,USD
B0200,2024-04-11,302.97,United Air,USD
